Origin,Destination,Date,Price
BFD,BMH,20-07-2019,45.7
BFD,BMH,21-07-2019,45.7
BFD,BMH,27-07-2019,45.7
BFD,BMH,28-07-2019,45.7
BFD,BMH,03-08-2019,34.8
BFD,BMH,04-08-2019,25.0
BFD,BMH,10-08-2019,34.8
BFD,BMH,11-08-2019,25.0
BFD,BMH,17-08-2019,25.0
BFD,BMH,18-08-2019,25.0
BFD,BMH,24-08-2019,25.0
BFD,BMH,25-08-2019,25.0
BFD,BMH,26-08-2019,29.9
BFD,BMH,31-08-2019,25.0
BFD,BMH,01-09-2019,25.0
BFD,BMH,07-09-2019,25.0
BFD,BMH,08-09-2019,25.0
BFD,BMH,14-09-2019,25.0
BFD,BMH,15-09-2019,25.0
BFD,BMH,21-09-2019,25.0
BFD,BMH,22-09-2019,25.0
BFD,BRI,17-06-2019,80.9
BFD,BRI,18-06-2019,80.9
BFD,BRI,19-06-2019,75.5
BFD,BRI,20-06-2019,80.9
BFD,BRI,21-06-2019,80.9
BFD,BRI,22-06-2019,60.3
BFD,BRI,23-06-2019,65.9
BFD,BRI,24-06-2019,72.0
BFD,BRI,25-06-2019,72.0
BFD,BRI,26-06-2019,72.0
BFD,BRI,27-06-2019,72.0
BFD,BRI,28-06-2019,72.0
BFD,BRI,29-06-2019,41.2
BFD,BRI,30-06-2019,60.3
BFD,BRI,01-07-2019,58.5
BFD,BRI,02-07-2019,46.5
BFD,BRI,03-07-2019,46.5
BFD,BRI,04-07-2019,55.0
BFD,BRI,05-07-2019,61.5
BFD,BRI,06-07-2019,41.2
BFD,BRI,07-07-2019,60.3
BFD,BRI,08-07-2019,46.5
BFD,BRI,09-07-2019,46.5
BFD,BRI,10-07-2019,46.5
BFD,BRI,11-07-2019,46.5
BFD,BRI,12-07-2019,46.5
BFD,BRI,13-07-2019,41.2
BFD,BRI,14-07-2019,60.3
BFD,BRI,15-07-2019,44.0
BFD,BRI,16-07-2019,44.0
BFD,BRI,17-07-2019,37.5
BFD,BRI,18-07-2019,44.0
BFD,BRI,19-07-2019,46.5
BFD,BRI,20-07-2019,60.3
BFD,BRI,21-07-2019,60.3
BFD,BRI,22-07-2019,37.5
BFD,BRI,23-07-2019,37.5
BFD,BRI,24-07-2019,37.5
BFD,BRI,25-07-2019,37.5
BFD,BRI,26-07-2019,40.0
BFD,BRI,27-07-2019,40.0
BFD,BRI,28-07-2019,40.0
BFD,BRI,29-07-2019,34.5
BFD,BRI,30-07-2019,37.5
BFD,BRI,31-07-2019,37.5
BFD,BRI,01-08-2019,37.5
BFD,BRI,02-08-2019,37.5
BFD,BRI,03-08-2019,40.0
BFD,BRI,04-08-2019,34.5
BFD,BRI,05-08-2019,32.0
BFD,BRI,06-08-2019,34.5
BFD,BRI,07-08-2019,38.0
BFD,BRI,08-08-2019,38.0
BFD,BRI,09-08-2019,35.0
BFD,BRI,10-08-2019,35.0
BFD,BRI,11-08-2019,35.0
BFD,BRI,12-08-2019,32.0
BFD,BRI,13-08-2019,32.0
BFD,BRI,14-08-2019,32.0
BFD,BRI,15-08-2019,32.0
BFD,BRI,16-08-2019,35.0
BFD,BRI,17-08-2019,35.0
BFD,BRI,18-08-2019,37.5
BFD,BRI,19-08-2019,32.0
BFD,BRI,24-08-2019,35.0
BFD,BRI,25-08-2019,37.5
BFD,BRI,26-08-2019,41.0
BFD,BRI,31-08-2019,29.0
BFD,BRI,01-09-2019,29.0
BFD,BRI,07-09-2019,29.0
BFD,BRI,08-09-2019,33.3
BFD,BRI,14-09-2019,29.0
