Origin,Destination,Date,Price
BFD,SAL,18-08-2019,20.0
BFD,SAL,25-08-2019,20.0
BFD,SAL,01-09-2019,20.0
BFD,SAL,04-08-2019,20.0
BFD,SAL,26-08-2019,20.0
BFD,SAL,08-09-2019,20.0
BFD,SAL,27-07-2019,38.9
BFD,SAL,11-08-2019,20.0
BFD,SAL,24-08-2019,20.0
BFD,SAL,28-07-2019,33.8
BFD,SAL,31-08-2019,20.0
BFD,SAL,14-09-2019,20.0
BFD,SAL,07-09-2019,23.2
BFD,SAL,03-08-2019,20.0
BFD,SAL,17-08-2019,23.2
BFD,SAL,15-09-2019,20.0
BFD,SAL,21-09-2019,20.0
BFD,SAL,22-09-2019,20.0
BFD,SAL,29-09-2019,20.0
BFD,SAL,28-09-2019,31.4
BFD,SAL,10-08-2019,23.2
BFD,CBG,27-07-2019,30.2
BFD,CBG,18-08-2019,30.2
BFD,CBG,24-08-2019,30.2
BFD,CBG,03-08-2019,30.2
BFD,CBG,11-08-2019,30.2
BFD,CBG,17-08-2019,30.2
BFD,CBG,26-08-2019,30.2
BFD,CBG,28-07-2019,30.2
BFD,CBG,31-08-2019,30.2
BFD,CBG,07-09-2019,30.2
BFD,CBG,10-08-2019,30.2
BFD,CBG,04-08-2019,30.2
BFD,CBG,25-08-2019,30.2
BFD,CBG,14-09-2019,30.2
BFD,CBG,01-09-2019,30.2
BFD,CBG,08-09-2019,30.2
BFD,CBG,15-09-2019,30.2
BFD,CBG,21-09-2019,30.2
BFD,CBG,22-09-2019,30.2
BFD,CBG,28-09-2019,30.2
BFD,CBG,29-09-2019,30.2
BFD,BTH,10-08-2019,39.0
BFD,BTH,07-09-2019,31.5
BFD,BTH,27-07-2019,40.0
BFD,BTH,28-07-2019,55.0
BFD,BTH,24-08-2019,34.0
BFD,BTH,14-09-2019,29.0
BFD,BTH,03-08-2019,40.0
BFD,BTH,11-08-2019,39.0
BFD,BTH,31-08-2019,34.0
BFD,BTH,17-08-2019,34.0
